phrase,ref
"So, understanding that you are at work and you are doing some functions.",mixed
"Actually, I'm not sure how I should answer this question.",internal
You have to ask other people rather than me.,mixed
Nothing about me surprises me.,internal
Actually I can name a schedule of working.,mixed
"I suppose it's my first time when I work in a strict schedule company, we really work from 9 a.m. till 6 p.m.",mixed
"And I get really tired after work when I come home, it's quite exhausting to work all day in one building, in one office.",mixed
I'm not really used to this still.,internal
"Yeah, that company is related to international relations and my bachelor’s degree is in international relations.",mixed
"I'm really happy to see the connections with my primary education, like it was not useless for me.",internal
"Actually, I think that I have become a bit more disciplined.",internal
"I really try to get some useful habits to set up my routine, like morning routine or some good habits for health, for, I don't know, studying and repetition.",mixed
"Actually, continuing the last answer, it would be logical to say that it's important to do some small things every day to achieve success.",mixed
"But actually, my real professional career and the process of getting my job position or what I'm doing right now is sometimes you need to be just in right place in right time.",mixed
"Okay, actually, I suppose it's also connected to my professional work, professional position, because when I came first time in the company I'm currently working at, I was judged.",internal
